matrix_size,episode,tile,reward,q_value,time_ms
128,1,1,108507,65104.2,0.009216
128,2,1,81380.2,110026,0.012288
128,3,1,122070,176667,0.008192
128,4,1,88778.4,219334,0.011264
128,5,1,97656.2,264767,0.01024
128,6,1,81380.2,297710,0.012288
128,7,1,139509,363552,0.007168
128,8,1,25847.8,357248,0.038688
128,9,1,54253.5,368365,0.018432
128,10,3,139509,282622,0.007168
256,1,1,81168.8,48701.3,0.01232
256,2,1,75849.5,91288.9,0.013184
256,3,1,94984.8,142802,0.010528
256,4,1,91374.3,189059,0.010944
256,5,1,11954.9,184888,0.083648
256,6,1,128601,250955,0.007776
256,7,1,294811,412785,0.003392
256,8,1,428082,644867,0.002336
256,9,1,400641,846560,0.002496
256,10,1,359195,1.01128e+06,0.002784
512,1,1,428082,256849,0.002336
512,2,1,405844,484945,0.002464
512,3,1,428082,712698,0.002336
512,4,1,400641,910320,0.002496
512,5,1,400641,1.09609e+06,0.002496
512,6,1,422297,1.2837e+06,0.002368
512,7,1,372024,1.42989e+06,0.002688
512,8,1,405844,1.5876e+06,0.002464
512,9,14,422297,1.11068e+06,0.002368
512,10,1,381098,1.72101e+06,0.002624
1024,1,1,372024,223214,0.002688
1024,2,1,428082,466671,0.002336
1024,3,1,400641,679055,0.002496
1024,4,1,376506,864215,0.002656
1024,5,1,395570,1.0497e+06,0.002528
1024,6,9,411184,813551,0.002432
1024,7,1,428082,1.24357e+06,0.002336
1024,8,1,422297,1.42234e+06,0.002368
1024,9,1,385802,1.56848e+06,0.002592
1024,10,1,416667,1.72437e+06,0.0024
2048,1,1,376506,225904,0.002656
2048,2,1,405844,455856,0.002464
2048,3,1,400641,668889,0.002496
2048,4,1,367647,849344,0.00272
2048,5,1,367647,1.01897e+06,0.00272
2048,6,1,422297,1.21121e+06,0.002368
2048,7,1,372024,1.36175e+06,0.002688
2048,8,1,416667,1.53005e+06,0.0024
2048,9,1,385802,1.66973e+06,0.002592
2048,10,1,422297,1.82292e+06,0.002368
4096,1,1,363372,218023,0.002752
4096,2,1,385802,436423,0.002592
4096,3,1,395570,647580,0.002528
4096,4,1,376506,834629,0.002656
4096,5,1,363372,1.00257e+06,0.002752
4096,6,1,390625,1.17679e+06,0.00256
4096,7,8,1.53645,635470,650.851
4096,8,1,328947,1.30356e+06,0.00304
4096,9,1,372024,1.44856e+06,0.002688
4096,10,1,385802,1.59312e+06,0.002592
